work_id,imprint_date,author,title,format,price,topic,popularity,key_scots,imprints,scots_names
3894-myographiae comparatae specimen or comparative description of all muscles in man and in quadruped,1707,"Douglas, James, 1675-1742.",Myographiæ comparatæ specimen,12mo,NA,Scientific Improvement,9,1,"London: printed by W. B. for G. Strachan, at the Golden Ball, over against the Royal Exchange (N26181); London: printed by W. B. for George Strahan (T56021)","Strachan, G.; Strahan, George"
19100-history ancient and modern of sheriffdoms of linlithgow and stirling,1710,"Sibbald, Robert, Sir, 1641-1722.","The history ancient and modern, of the sheriffdoms of Linlithgow and Stirling",2fo,NA,History,3,NA,"Edinburgh: printed by James Watson, for the author (T130125); Edinburgh: printed by James Watson, for the author (T130127); Edinburgh: printed by Mr. Andrew Symson, for the author (T139138)",NA
21568-new general history of scotland,1710,"Heron, Robert, 1764-1807.",History of Scotland,8vo,NA,History,2,NA,"Edinburgh: printed for T. Cadell, jun. and W. Davies, London (T36451)",NA
23980-multa tulere tuae te rex absente columbae,1710,"Pitcairn, Archibald, 1652-1713.","Multa tl̀ere tuae, te, rex, absente, columbae, .",4to,NA,Literature,3,NA,Edinburgh: NA (T170687); Edinburgh: NA (T170688); Edinburgh: NA (T170689),NA
24793-of qualifications requisite in minister of state,1710,"Ferguson, Robert, -1714.",Of the qualifications requisite in a minister of state,8vo,Price from imprint: Price 6d,History,3,NA,"London: printed; and sold by John Morphew, near Stationers-Hall (T42134)",NA
35867-portus coloniae and castella romana ad bodotriam et ad tavm or conjectures concerning roman ports colonies and forts in firths taken from their vestigies and antiquities found near them,1711,"Sibbald, Robert, Sir, 1641-1722.",Portus; coloniæ & castella Romana; ad Bodotriam et ad Tavm,2fo,NA,History,2,NA,"Edinburgh: Printed at the expence of the author, by Mr. Andrew Symson (T131327); Edinburgh: Printed at the expence of the author, by Mr. Andrew Symson (T232472)",NA
50836-works of william drummond of hawthornden,1711,"Drummond, William, 1585-1649.","The miscellany works of William Drummond, of Hawthornden",2fo,NA,Literature,2,NA,"Edinburgh: printed by James Watson, in Craig's-Closs (T125750); Edinburgh: printed by James Watson, in Craig's Closs (N504204)",NA
13735-proposals for printing very curious discourse in two volumes in quarto intitled pseudologia politike or treatise of art of political lying,1712,"Arbuthnot, John, 1667-1735.",Proposals for printing a very curious discourse,8vo,NA,Philosophy,4,NA,"Edinburgh: printed by James Watson and sold at his shop (T171029); London: printed for John Morphew, near Stationers-Hall (T75422)",NA
23978-in maij vigesimam nonam anno mdccxii,1712,"Pitcairn, Archibald, 1652-1713.","In Maii XXIX, sive Juni X, anni MDCCXII",4to,NA,Literature,3,NA,Edinburgh: NA (T186872); Edinburgh: NA (T186875); Edinburgh: NA (T200877),NA
23979-maria lodoix stuarta ad alaricam suecam,1712,"Pitcairn, Archibald, 1652-1713.",Maria Lodoix britanna ad Alaricam suecam,2fo,NA,History,3,NA,Edinburgh: NA (T171808); Edinburgh: NA (T171809); Edinburgh: NA (T171810),NA
50418-andraeae flechero regulo saltonio archibaldus pitcarnius sd,1712,"Pitcairn, Archibald, 1652-1713.",Andraeae Flechero regulo Saltonio. Archibaldus Pitcarnius s.d,2fo,NA,Scientific Improvement,2,NA,Edinburgh: NA (N43250); Edinburgh: NA (T193512),NA
50419-arbiter europae mandato brittonis annae,1712,"Pitcairn, Archibald, 1652-1713.","Arbiter Europae, mandato Brittonis Annae, .",2fo,NA,Literature,2,NA,Edinburgh: NA (T166814); Edinburgh: NA (T182550),NA
50421-good news from scotland or abjuration and kirk of scotland reconcild,1712,"Pitcairn, Archibald, 1652-1713.",Good news from Scotland,8vo,NA,History,2,NA,Edinburgh: Reprinted in the year (N17848); London: NA (T165564),NA
7712-ad janum,1712,"Pitcairn, Archibald, 1652-1713.",Ad Haium comitem Kinulium,4to,NA,Literature,6,NA,Edinburgh: apud Robertum Freebairn (T187312); Edinburgh: NA (T187344); Edinburgh: NA (T187355); Edinburgh: NA (T187358),NA
7713-dissertationes medicae,1713,"Pitcairn, Archibald, 1652-1713.","Archibaldi Pitcarnii Scoti dissertationes medicæ. Quarum multæ nunc primum prodeunt. Subjuncta est Thomæ Boeri M.D. ad Archibaldum Pitcarnium epistola, qua respondetur libello Astrucii Franci",4to,NA,Scientific Improvement,6,NA,"Edinburgh: Apud Robertum Freebairn, Typographum Regium (T224750); Edinburgh: apud Robertum Freebairn, Typographum Regium (T84388)",NA
13732-a farther continuation of history of crown-inn part iii containing present state of inn and other particulars,1714,"Arbuthnot, John, 1667-1735.",A farther continuation of the history of the Crown-Inn. Part III. .,8vo,NA,History,4,NA,"London: printed for J. Moor, and Sold by the Booksellers of London and Westminster (N8030); London: printed for J. Moor, and Sold by the Booksellers of London and Westminster (N9724); London: printed for J. Moor (T35392)",NA
21344-memoirs of life and negotiations of sir w temple bar containing most important occurrences and most secret springs of affairs in christendom from year 1665 to year 1681,1714,"Boyer, Abel, 1667-1729.","Memoirs of the life and negotiations of Sir W. Temple, bar",8vo,NA,Philosophy,3,NA,London: Printed for W. Taylor at the Ship in Paternoster-Row (T171819); London: printed for W. Taylor at the Ship in Pater-Noster-Row (T146541),NA
2542-postscript to john bull,1714,"Arbuthnot, John, 1667-1735.",A continuation of the history of the Crown-Inn,8vo,NA,History,12,NA,"London: Printed for J. Moor (N12226); London: printed for J. Moor, and Sold by the Book-Sellers of London and Westminster (N15294); London: printed for J. Moor, and sold by the booksellers of London and Westminster (N15318); London: Printed for J. Moor (N20848); London: printed for J. Moor, and Sold by the Booksellers of London and Westminster (N20849); London: printed for J. Moor, and sold by the booksellers of London and Westminster (N30897); London: printed for J. Moor, and sold by the booksellers of London and Westminster (T110938); London: Printed for J. Moor, and Sold by the Booksellers of London and Westminster (T44101); London: Printed for J. Moor, and Sold by the Booksellers of London and Westminster (T44102)",NA
41883-fourth and last part of history of crown inn with character of john bull and other novels,1714,"Arbuthnot, John, 1667-1735.",The fourth and last part of the history of the Crown-Inn,8vo,NA,History,2,NA,"London: printed for J. Moor (T40112); London: Printed for J. Moor, and sold by the booksellers of London and Westminster (T40113)",NA
53725-a congratulatory poem upon coronation of his majesty king george with dunsermlines address to his majesty for redressing scotlands grievances,1714,"Erskine, Ralph, 1685-1752.",A congratulatory poem upon the coronation of His Majesty King George,4to,NA,Literature,2,NA,Edinburgh: printed by John Reid (T6508),NA
40035-catos ghost,1715,"Meston, William, 1688?-1745.",Cato's ghost,4to,NA,Literature,2,NA,London: NA (T28922),NA
40036-to memory of right honourable john earl of strathmore who was killd at battle of sheriffmuir near dunblain november 13th 1715,1715,"Meston, William, 1688?-1745.","In memory of the Right Honourable John Earl of Strathmore, kill'd at the battle of Sheriffmuir, November the 13th, 1715",4to,NA,Literature,2,NA,Edinburgh: NA (T186811); Edinburgh: NA (T106177),NA
50424-method of curing small-pox written in year 1704,1715,"Pitcairn, Archibald, 1652-1713.",The method of curing the small-pox,8vo,NA,Scientific Improvement,2,NA,London: Printed in the year (N4018),NA
40855-philosophical principles of religion part ii,1716,"Cheyne, George, 1671-1743.",Philosophical principles of religion,8vo,NA,Scientific Improvement,2,1,"London: printed for George Strahan, at the Golden Ball in Cornhill, over against the Royal Exchange (T64237)","Strahan, George"
9495-battel or morning interview,1716,"Ramsay, Allan, 1685-1758.","The battel: or, morning-interview",8vo,NA,Literature,5,NA,"Edinburgh: printed for George Stewart, at the Book and Angel in the Parliament-Close (T90847)",NA
15075-elementa medicinae physico-mathematica,1717,"Pitcairn, Archibald, 1652-1713.","Archibaldi Pitcairnii, medici celeberrimi, Scoto-Britanni, elementa medicinæ physico-mathematica, libris duobus; quorum prior theoriam, posterior praxim exhibet; in medicinæ studiosorum gratiam delineata. Nunc primum in lucem edita",8vo,NA,Scientific Improvement,4,NA,"London: impensis Gulielmi Innys, ad insignia Principis in Coemeterio D. Pauli (T84387)",NA
20556-a new treatise of arithmetick and book-keeping containing i,1718,"Malcolm, Alexander, 1685-1763.",A new treatise of arithmetick and book-keeping,4to,NA,Scientific Improvement,3,NA,"Edinburgh: printed for J. P. and sold by D. Midwinter (N41924); Edinburgh: printed by John Mosman and William Brown, for John Paton Bookseller and are to be sold at his Shop in the Parliament-Closs (T100698)",NA
2096-christs kirk on green in three cantos,1718,"Ramsay, Allan, 1685-1758.",Christ's-Kirk on the green,8vo,NA,Literature,8,NA,"Edinburgh: printed for the author, at the Mercury, opposite to Niddry's-Wynd (T104665)",NA
21718-scriblers lashd by allan ramsay,1718,"Ramsay, Allan, 1685-1758.",The scriblers lash'd,4to,NA,Literature,3,NA,Edinburgh: printed anno Dom (T172501); Edinburgh: printed anno dom (T62908),NA
3257-a system of surgery,1718,"Bell, Benjamin, 1749-1806.",A system of surgery,8vo,NA,Scientific Improvement,10,NA,"Edinburgh: printed [by Macfarquhar and Elliot] for Charles Elliot, Edinburgh; and G. Robinson, London (T99545)",NA
40034-an elegy on king of sweden,1718,"Meston, William, 1688?-1745.",An elegy on the King of Sweden,2fo,NA,Literature,2,NA,London: NA (T184684); London: NA (T192171),NA
4992-a dedication to great man concerning dedications discovering amongst other wonderful secrets what will be present posture of affairs thousand years hence,1718,"Gordon, Thomas, -1750.","A dedication to a great man, concerning dedications",8vo,NA,Philosophy,8,1,"London: printed for James Roberts, in Warwick-Lane (T32202); London: printed for James Roberts, in Warwick-Lane (T32203); London: Printed for James Roberts, in Warwick-Lane (T32204)","Roberts, James"
9636-selectus diplomatum and numismatum scotiae thesaurus,1718,"Anderson, James, 1662-1728.","Proposals for publishing by subscription, a book intitled, Diplomata Scotiæ, &c",2fo,NA,History,5,NA,Edinburgh: NA (T171032); Edinburgh: NA (T301255),NA
21715-content poem,1719,"Ramsay, Allan, 1685-1758.",Content,8vo,NA,Literature,3,1,"Edinburgh: printed for the author at the Mercury, opposite to Niddry's-Wynd (T165434); Edinburgh: printed for the author at the Mercury, opposite to Niddrey's-Wynd (T143027)","Ramsay, Allan, 1685-1758."
43584-familiar epistles between w-- h--- and a-- r---,1719,"Ramsay, Allan, 1685-1758.",Familiar epistles between W-- H--- and A-- R--,8vo,NA,Literature,2,NA,Edinburgh: NA (T136967),NA
6061-actual survey of all principal roads of england and wales,1719,"Ogilby, John, 1600-1676.",An actual survey of all the principal roads of England and Wales,4to,NA,Literature,7,NA,London: printed for and sold by J. Senex (T186556),NA
7333-richy and sandy,1719,"Ramsay, Allan, 1685-1758.",Richy and Sandy,2fo,NA,Literature,6,NA,Edinburgh: NA (T136968); London: printed for Bernard Lintot (T171209),NA
14012-health poem,1720,"Ramsay, Allan, 1685-1758.","Wealth, or the woody",NA,Price from imprint: price 6d,Literature,4,NA,London: printed for T. Jauncy at the Angel without Temple-Bar (T140396),NA
21717-morning interview heroi-comical poem,1720,"Ramsay, Allan, 1685-1758.",The morning interview,8vo,NA,Literature,3,1,Edinburgh: printed for the author (N61337); Edinburgh: printed for the author (N66456),"Ramsay, Allan, 1685-1758."
21720-wealth or woody,1720,"Ramsay, Allan, 1685-1758.",A poem on the South-Sea,8vo,NA,Literature,3,NA,"Edinburgh: NA (N13357); Edinburgh: NA (T179467); London: printed for T. Jauncy, at the Angel without Temple-Bar (N11550)",NA
2227-observations concerning nature and due method of treating gout,1720,"Cheyne, George, 1671-1743.",An essay on the gout,4to,NA,Scientific Improvement,13,1,"London: printed for G. Strahan, at the Golden Ball, over against the Royal Exchange in Cornhill; W. Mears, at the Lamb without Temple Bar, and H. Hammond, at the Bath (T55024); London: printed for G. Strahan, at the Golden Ball, over against the Royal Exchange in Cornhill; W. Mears, at the Lamb without Temple Bar, and H. Hammond, at the Bath (T55025)","Strahan, G."
25180-streams from helicon or poems on various subjects,1720,"Pennecuik, Alexander, -1730.",Streams from Helicon,8vo,NA,Literature,3,NA,Edinburgh: printed by John Mosman and Company for the author (T117060); London: printed for the author (T117059),NA
2992-humourist being essays upon several subjects viz,1720,"Gordon, Thomas, -1750.",The humorist,12mo,NA,Literature,11,NA,"London: printed for D. Browne, W. Mears, and F. Clay; T. Woodward; J. Brotherton and W. Meadows; and W. Boreham (N66232); London: Printed for W. Boreham at the Angel in Pater-noster Row (N70714); London: printed for D. Browne (T188900); London: printed for D. Browne, W. Mears, and F. Clay, without Temple-Bar; T. Woodward in Fleet-Street; and J. Brotherton and W. Meadows in Cornhill (T208363); London: printed for W. Boreham at the Angel in Pater-Noster Row (T98599)",NA
43585-fy gar rub her ore wi strae,1720,"Ramsay, Allan, 1685-1758.",An excellent song intituled Fy gar rub her o're wi strae,2fo,NA,Literature,2,NA,Edinburgh: NA (T183819); Edinburgh: Printed by Thomas Ruddiman (T184395),NA
43588-prospect of plenty poem on north-sea fishery,1720,"Ramsay, Allan, 1685-1758.",The prospect of plenty,8vo,NA,Literature,2,NA,"Edinburgh: NA (N13599); London: printed for T. Jauncy, at the Angel without Temple-Bar (T143028)",NA
956-poems,1720,"Ramsay, Allan, 1685-1758.",Poems,2fo,NA,Literature,23,1,"Edinburgh: printed for the author at the Mercury, opposite to Niddry's-Wynd (T154560); Edinburgh: NA (T213570)","Ramsay, Allan, 1685-1758.; NA"
10062-farriers dispensatory in three parts,1721,"Gibson, W. (William), 1680?-1750.",The farriers dispensatory,8vo,NA,Scientific Improvement,5,NA,"London: printed for W. Taylor, at the Ship and Black-Swan, in Pater-Noster-Row (T94761)",NA
15278-three political letters to noble lord concerning liberty and constitution,1721,"Gordon, Thomas, -1750.",A supplement to three political letters to a noble lord,8vo,NA,Philosophy,4,1,"London: printed for J. Roberts (N46367); London: printed for J. Roberts, near the Oxford-Arms in Warwick-Lane (T63866); London: printed for J. Roberts, near the Oxford-Arms in Warwick-Lane (T63867); London: printed for J. Roberts, near the Oxford-Arms in Warwick-Lane (T63868)","Roberts, J."
1699-conspirators or case of catiline,1721,"Gordon, Thomas, -1750.",The conspirators,8vo,NA,Philosophy,16,1,"London: printed for J. Roberts (N5385); London: printed for J. Roberts, at the Oxford Arms in Warwick-Lane (T31591); London: printed for J. Roberts (T31592); London: Printed for J. Roberts, near the Oxford Arms in Warwick-Lane (T31593); London: printed for J. Roberts, near the Oxford Arms in Warwick-Lane (T31594); London: printed for J. Roberts, at the Oxford Arms in Warwick-Lane (T31595); London: printed for J. Roberts, at the Oxford Arms in Warwick-Lane (T99339); London: printed for J. Roberts, near the Oxford Arms in Warwick-Lane (T99353); London: printed for J. Roberts, near the Oxford Arms in Warwick-Lane (T99354); London: printed for J. Roberts, near the Oxford Arms in Warwick-Lane (T99355); London: printed for J. Roberts, near the Oxford Arms in Warwick-Lane (T99356); London: printed for J. Roberts, near the Oxford-Arms in Warwick-Lane (T100067); London: printed for J. Roberts (T130551); London: printed for J. Roberts (T130552)","Roberts, J."
23837-true method of dieting horses containing many curious and useful observations concerning their marks colour and external shape their temper and instinct and how they are to be governd so as to prevent accidents and diseases,1721,"Gibson, W. (William), 1680?-1750.",The true method of dieting horses,8vo,NA,Scientific Improvement,3,NA,"London: printed for W. Taylor, at the Ship and Black Swan in Pater-Noster-Row (T94759)",NA
23898-essai philosophique sur le gouvernement civil,1721,"Ramsay, Chevalier (Andrew Michael), 1686-1743.",Essay philosophique sur le gouvernement civil,12mo,NA,Philosophy,3,NA,London: NA (T182091),NA
40033-a tale of man and his mare found in old manuscript never before printed,1721,"Meston, William, 1688?-1745.","A tale of a man and his mare, Found in an old manuscript, never before printed",2fo,NA,Literature,2,NA,Edinburgh: NA (T73691); London: NA (T1582),NA
5930-description nature and general use of sector and plain-scale briefly and plainly laid down,1721,"Stone, Edmund, -1768.",The description,8vo,NA,Scientific Improvement,7,NA,"London: printed for Tho. Wright; and sold by John Coggs mathematical instrument maker, at the Globe and Sun against St. Dunstan's-Church in Fleetstreet (T32339); London: printed for Tho. Wright, and sold by Tho. Health Mathematical Instrument Maker, next the Fountain Tavern in the Strand (T32340); London: printed for Tho. Wright; and sold by the mathematical instrument makers of London and Westminster (T154327)",NA
5994-francis lord bacon or case of private and national corruption and bribery impartially considerd,1721,"Gordon, Thomas, -1750.",Francis,8vo,NA,Philosophy,7,1,"London: Printed for J. Roberts, near the Oxford Arms in Warwick-Lane (N18524); London: printed for J. Roberts, near the Oxford Arms in Warwick-Lane (N3318); London: printed for J. Roberts, near the Oxford-Arms in Warwick-Lane (T40151); London: printed for J. Roberts, near the Oxford-Arms in Warwick-Lane (T40152); London: printed for J. Roberts, near the Oxford Arms in Warwick-Lane (T40153); London: printed for J. Roberts, near the Oxford-Arms in Warwick-Lane (T99351); London: printed for J. Roberts, near the Oxford Arms in Warwick-Lane (T99352)","Roberts, J."
13734-mr maitlands account of inoculating small pox,1722,"Arbuthnot, John, 1667-1735.",Mr. Maitland's account of inoculating the small pox,4to,NA,Scientific Improvement,4,1,"London: printed for the author, by J. Downing: and to be sold by J. Roberts, at the Oxford-Arms in Warwick-Lane (T41553); London: printed and sold by J. Peele, at Lock's Head in Paternoster-Row (T41555); London: printed and sold by J. Peele, at Lock's Head in Paternoster-Row (T99621)","Roberts, J.; NA"
21147-annus mirabilis or wonderful effects of approaching conjunction of planets jupiter mars and saturn,1722,"Arbuthnot, John, 1667-1735.",Annus mirabilis,2fo,NA,Scientific Improvement,3,1,London: printed for J. Roberts (T116214),"Roberts, J."
43583-fables and tales by allan ramsay,1722,"Ramsay, Allan, 1685-1758.",Fables and tales. By Allan Ramsay,8vo,NA,Literature,2,1,"Edinburgh: printed for the author, at the Mercury, opposite to the Cross Well (N201); Edinburgh: printed for the Author, at the Mercury, opposite to Niddry's Wynd (T67001)","Ramsay, Allan, 1685-1758."
53843-an historical account of blue blanket or craftsmens mens banner,1722,"Pennecuik, Alexander, -1730.",An historical account of the blue blanket,8vo,NA,History,2,NA,"Edinburgh: printed by John Mosman and Company, and sold by him and the author (T117242)",NA
5713-a tale of three bonnets in four cantos,1722,"Ramsay, Allan, 1685-1758.",A tale of three bonnets,8vo,NA,Literature,7,NA,Edinburgh: Printed in the year (T73677),NA
13421-knight of kirk or ecclesiastical adventures of sir john presbyter,1723,"Meston, William, 1688?-1745.",The knight,8vo,NA,Literature,4,NA,Edinburgh: Printed in the year (T93985),NA
913-constitutions of free-masons,1723,"Anderson, James, approximately 1680-1739.",The constitutions of the free-masons,4to,NA,History,19,NA,"London: printed by William Hunter, for John Senex at the Globe, and John Hooke at the Flower-de-Luce over-against St. Dunstan's Church, in Fleet-Street. In the year of masonry ---- 5723 (T86287)",NA
1527-an essay of health and long life by george cheyne m,1724,"Cheyne, George, 1671-1743.",An essay of health and long life,8vo,NA,Philosophy,17,2,"London: printed for George Strahan, at the Golden Ball over-against the Royal Exchange in Cornhill; and J. Leake, Bookseller at Bath (T58019)","Strahan, George; Leake, J."
15636-romes legacy to kirk of scotland satyr on stool of repentance,1724,"Pennecuik, Alexander, -1730.",Rome's legacy to the Kirk of Scotland,8vo,NA,Literature,4,NA,Edinburgh: Printed for the author (T169476),NA
51715-an essay on practice of stock-jobbing and some remarks on right use and regular improvement of money,1724,"Gordon, Thomas, -1750.",An essay on the practice of stock-jobbing,8vo,NA,Scientific Improvement,2,NA,"London: printed for J. Peele, at Lock's-Head in Pater-Noster-Row (N37437)",NA
5714-monk and millers wife,1724,"Ramsay, Allan, 1685-1758.",The monk and the miller's wife,8vo,NA,Literature,7,NA,Edinburgh: NA (T97695),NA
895-history of his own time,1724,"Burnet, Gilbert, 1643-1715.",An abridgment of Bishop Burnet's History of his own times,2fo,NA,History,22,NA,"London: printed: and sold by J. Smith, next the Fountain-Tavern, and Tho. Edlin, in the Strand; W. Mears, at the Lamb without Temple-Bar; and J. Jackson, at the Prince's Arms in the Pall-Mall (T110438); London: printed for Thomas Ward in the Inner-Temple Lane (T144688); London: printed for Thomas Ward in the Inner-Temple Lane (T144689)",NA
20194-lilium sarniense or desciption of guernsay-lilly,1725,"Douglas, James, 1675-1742.","Lilium Sarniense: or, a description of the Guernsay-Lilly",2fo,NA,Scientific Improvement,3,1,"London: printed by G. Strahan, at the Golden Ball, over-against the Royal Exchange, Cornhill (T72475)","Strahan, G."
51717-justice of parliaments on corrupt ministers in impeachments and bills of attainder considerd to which is subjoind account of several chancellors who have been impeached,1725,"Gordon, Thomas, -1750.",The justice of parliaments on corrupt ministers,8vo,NA,Philosophy,2,1,London: sold by J. Roberts (N29593); London: sold by J. Roberts in Warwick Lane (T29331),"Roberts, J."
6964-itinerarium septentrionale,1725,"Gordon, Alexander, 1692?-1754?.","Proposals for printing, by subscription, a book, intitled, Itinerarium septentrionale: or, a journey over the greatest part of the Kingdom of Scotland, and most northerly parts of England. In one volume in folio. ... By Alexander Gordon, .",2fo,NA,Literature,6,NA,London: NA (T171047),NA
1138-anatomy of humane bones,1726,"Monro, Alexander, 1697-1767.",The anatomy of the humane bones,8vo,NA,Scientific Improvement,21,1,"Edinburgh: printed by Mr. Thomas Ruddiman, for Mr. Will. Monro Book-Seller, and are to be sold at his Shop in the Parliament-Closs, and by most Booksellers in Edinburgh; and at London by T. Langman [i.e. Longman], Book-Seller, and Company, at the Ship in Pater-Noster-Row (T55933)","Longman, T."
39074-history of lateral operation or account of method of extracting stone by making wound near great protuberance of os ischium through common integuments and levator ani into side of bladder without touching urethra prostate gland vesiculae seminales or any other of urinary or seminal vessels first attempted by frere jacques in france and afterwards successfully performd by professor rau in holland,1726,"Douglas, James, 1675-1742.",The history of the lateral operation,4to,NA,Scientific Improvement,2,1,"London: printed for G. Strahan, at the Golden Ball, over-against the Royal Exchange in Cornhill (T36492)","Strahan, G."
49776-a new mathematical dictionary wherein is containd not only explanation of bare terms but likewise history of rise progress state properties andc,1726,"Stone, Edmund, -1768.",A new mathematical dictionary,8vo,NA,Scientific Improvement,2,1,"London: printed for J. Senex, W. and J. Innys, J. Osborn, T. Longman, and T. Woodward (T110417)","Longman, T."
21977-a description of st kilda most remote western isle of scotland,1727,"Buchan, Alexander, -1730.",A description of St. Kilda,8vo,NA,Scientific Improvement,3,NA,"Edinburgh: printed by Thomas Lumisden and John Robertson, and sold at their printing-house, in the Fish-Market (T90137)",NA
22185-collections relating to history of mary queen of scotland in four volumes,1727,"Anderson, James, 1662-1728.","Collection relating to the history of Mary, Queen of Scotland. In four volumes. Containing a great number of original papers never before printed. Also a few scarce pieces reprinted, taken from the best copies. Revised and published by J. Anderson, with a explanatory index of the obsolete words, and prefaces shewing the importance of these collections",4to,NA,History,3,NA,"Edinburgh: printed by John Mosman and William Brown, the assigns of James Watson deceased (T133808); Edinburgh: J. Mosman & W. Brown, the assigns of J. Watson, deceased (N474055)",NA
238-voyages de cyrus,1727,"Ramsay, Chevalier (Andrew Michael), 1686-1743.",The travels of Cyrus,8vo,NA,Literature,47,NA,"London: printed: and sold by T. Woodward, at the Half-Moon, over-against St. Dunstan's Church, Fleetstreet: and J. Peele, at Locke's-Head in Pater-Noster-Row (T82619); London: printed: and sold by T. Woodward: and J. Peele (T121199)",NA
