estc_id,publication_year,actor_id,actor_name_primary,publication_place,actor_addresses,city_or_assumed_address,publisher,actor_roles_all,,
T174529,1720,bbti_44618,"McEuen, J.",London,Edinburgh,,"printed for J. McEuen in Edinburgh, and T. Cox [London]",publisher,TRUE,3
T100359,1721,21213427,"Ward, Aaron",London,King's-Arms @@ Little-Britain,London,"printed for, and sold by William and Joseph Marshall, at the Bible in Newgate-Street; and likewise by J. Marshall, at the Bible in Grace-Church-Street; R. Ford, at the Angel in the Poultry; Aaron Ward, at the King's-Arms in Little-Britain; and E. Harrison, at the Royal Exchange: As also by James M' Ewen, and James Davidson, at Edinburgh in Scotland; and John Hunt, at Boston, in New-England",bookseller; printer,FALSE,4
T100359,1721,bbti_45404,"Marshall, J.",London,Bible @@ Grace-Church-Street,London,"printed for, and sold by William and Joseph Marshall, at the Bible in Newgate-Street; and likewise by J. Marshall, at the Bible in Grace-Church-Street; R. Ford, at the Angel in the Poultry; Aaron Ward, at the King's-Arms in Little-Britain; and E. Harrison, at the Royal Exchange: As also by James M' Ewen, and James Davidson, at Edinburgh in Scotland; and John Hunt, at Boston, in New-England",bookseller; printer,TRUE,4
T100359,1721,2480434,"Owen, John, 1616-1683.",London,NA,,"printed for, and sold by William and Joseph Marshall, at the Bible in Newgate-Street; and likewise by J. Marshall, at the Bible in Grace-Church-Street; R. Ford, at the Angel in the Poultry; Aaron Ward, at the King's-Arms in Little-Britain; and E. Harrison, at the Royal Exchange: As also by James M' Ewen, and James Davidson, at Edinburgh in Scotland; and John Hunt, at Boston, in New-England",author,TRUE,4
T100359,1721,jamesdavidson_0,"Davidson, James",London,Bible @@ Newgate-Street,London,"printed for, and sold by William and Joseph Marshall, at the Bible in Newgate-Street; and likewise by J. Marshall, at the Bible in Grace-Church-Street; R. Ford, at the Angel in the Poultry; Aaron Ward, at the King's-Arms in Little-Britain; and E. Harrison, at the Royal Exchange: As also by James M' Ewen, and James Davidson, at Edinburgh in Scotland; and John Hunt, at Boston, in New-England",bookseller; printer,TRUE,4
T100359,1721,bbti_113163,"Ford, R.",London,Angel @@ Poultry,London,"printed for, and sold by William and Joseph Marshall, at the Bible in Newgate-Street; and likewise by J. Marshall, at the Bible in Grace-Church-Street; R. Ford, at the Angel in the Poultry; Aaron Ward, at the King's-Arms in Little-Britain; and E. Harrison, at the Royal Exchange: As also by James M' Ewen, and James Davidson, at Edinburgh in Scotland; and John Hunt, at Boston, in New-England",bookseller; printer,TRUE,4
T100359,1721,bbti_31218,"Harrison, E.",London,Royal Exchange,London,"printed for, and sold by William and Joseph Marshall, at the Bible in Newgate-Street; and likewise by J. Marshall, at the Bible in Grace-Church-Street; R. Ford, at the Angel in the Poultry; Aaron Ward, at the King's-Arms in Little-Britain; and E. Harrison, at the Royal Exchange: As also by James M' Ewen, and James Davidson, at Edinburgh in Scotland; and John Hunt, at Boston, in New-England",bookseller; printer,TRUE,4
T100359,1721,51561432,William and Joseph Marshall,London,Bible @@ Newgate-Street,London,"printed for, and sold by William and Joseph Marshall, at the Bible in Newgate-Street; and likewise by J. Marshall, at the Bible in Grace-Church-Street; R. Ford, at the Angel in the Poultry; Aaron Ward, at the King's-Arms in Little-Britain; and E. Harrison, at the Royal Exchange: As also by James M' Ewen, and James Davidson, at Edinburgh in Scotland; and John Hunt, at Boston, in New-England",bookseller; publisher,TRUE,4
T100359,1721,jamesmewen_0,"Ewen, James M'",London,Edinburgh @@ Scotland,Edinburgh,"printed for, and sold by William and Joseph Marshall, at the Bible in Newgate-Street; and likewise by J. Marshall, at the Bible in Grace-Church-Street; R. Ford, at the Angel in the Poultry; Aaron Ward, at the King's-Arms in Little-Britain; and E. Harrison, at the Royal Exchange: As also by James M' Ewen, and James Davidson, at Edinburgh in Scotland; and John Hunt, at Boston, in New-England",bookseller; printer,TRUE,4
T100359,1721,johnhunt_0,"Hunt, John",London,Boston @@ New-England,Boston,"printed for, and sold by William and Joseph Marshall, at the Bible in Newgate-Street; and likewise by J. Marshall, at the Bible in Grace-Church-Street; R. Ford, at the Angel in the Poultry; Aaron Ward, at the King's-Arms in Little-Britain; and E. Harrison, at the Royal Exchange: As also by James M' Ewen, and James Davidson, at Edinburgh in Scotland; and John Hunt, at Boston, in New-England",bookseller; printer,TRUE,4
T153352,1723,44648393,"Durham, James, 1622-1658.",Edinburgh,NA,,"printed by Thomas Lumisden, for John Oswald, London",unknown,FALSE,5
T153352,1723,NV23762,"Oswald, John",Edinburgh,London,,"printed by Thomas Lumisden, for John Oswald, London",publisher,TRUE,5
T153352,1723,309837281,"Lumisden, Thomas",Edinburgh,NA,,"printed by Thomas Lumisden, for John Oswald, London",printer,TRUE,5
T154302,1724,65560351,"Meere, C.",London,Old Baily @@ Ludgate,London,"printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh",bookseller; printer,FALSE,6
T154302,1724,bbti_44618,"Maceuen, J.",London,Buchanan's Head @@ St Clement's Church @@ Strand,London; Edinburgh,"printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh",bookseller,TRUE,6
T154302,1724,bbti_106365,"Gosling, R.",London,Middle-Temple-Gate @@ Fleet-Street,London,"printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh",bookseller,TRUE,6
T154302,1724,tnorris_1,"Norris, T.",London,Looking-Glass @@ London-Bridge @@ his shop @@ Edinburgh,London,"printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh",bookseller,TRUE,6
T61096,1725,77108557,"Ramsay, Allan, 1685-1758.",Edinburgh,NA,,"printed by Mr. Tho. Ruddiman, for the author, and by Mr. Thomas Longman, and Mr. James McEwin, London, and by Mr. Alexander Carmichael in Glasgow",author; publisher,FALSE,7
T61096,1725,bbti_44618,"McEwin, James",Edinburgh,London,,"printed by Mr. Tho. Ruddiman, for the author, and by Mr. Thomas Longman, and Mr. James McEwin, London, and by Mr. Alexander Carmichael in Glasgow",printer,TRUE,7
T61096,1725,63865137,"Carmichael, Alexander",Edinburgh,Glasgow,,"printed by Mr. Tho. Ruddiman, for the author, and by Mr. Thomas Longman, and Mr. James McEwin, London, and by Mr. Alexander Carmichael in Glasgow",printer,TRUE,7
T61096,1725,101583814,"Ruddiman, Thomas",Edinburgh,NA,Edinburgh,"printed by Mr. Tho. Ruddiman, for the author, and by Mr. Thomas Longman, and Mr. James McEwin, London, and by Mr. Alexander Carmichael in Glasgow",printer,TRUE,7
T61096,1725,12361047,"Longman, Thomas",Edinburgh,London,,"printed by Mr. Tho. Ruddiman, for the author, and by Mr. Thomas Longman, and Mr. James McEwin, London, and by Mr. Alexander Carmichael in Glasgow",printer,TRUE,7
T140324,1725,bbti_51499,"Osborn, J.",London,NA,London,"printed for J. Stephens; and sold by A. Bettesworth, J. Osborn, and T. Longman; W. Meadows, and J. Brotherton; J. MacEuen in Edinburgh; and by the booksellers of Dublin",bookseller,FALSE,8
T140324,1725,12361047,"Longman, T.",London,NA,London,"printed for J. Stephens; and sold by A. Bettesworth, J. Osborn, and T. Longman; W. Meadows, and J. Brotherton; J. MacEuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,8
T140324,1725,bbti_66145,"Stephens, J.",London,NA,London,"printed for J. Stephens; and sold by A. Bettesworth, J. Osborn, and T. Longman; W. Meadows, and J. Brotherton; J. MacEuen in Edinburgh; and by the booksellers of Dublin",publisher,TRUE,8
T140324,1725,307202316,"Gavin, Antonio, active 1726.",London,NA,,"printed for J. Stephens; and sold by A. Bettesworth, J. Osborn, and T. Longman; W. Meadows, and J. Brotherton; J. MacEuen in Edinburgh; and by the booksellers of Dublin",author,TRUE,8
T140324,1725,54200197,"Meadows, W.",London,NA,London,"printed for J. Stephens; and sold by A. Bettesworth, J. Osborn, and T. Longman; W. Meadows, and J. Brotherton; J. MacEuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,8
T140324,1725,jamesmaceuen_0,"MacEuen, J.",London,Edinburgh,,"printed for J. Stephens; and sold by A. Bettesworth, J. Osborn, and T. Longman; W. Meadows, and J. Brotherton; J. MacEuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,8
T140324,1725,305051344,"Brotherton, J.",London,NA,London,"printed for J. Stephens; and sold by A. Bettesworth, J. Osborn, and T. Longman; W. Meadows, and J. Brotherton; J. MacEuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,8
T140324,1725,36768263,"Bettesworth, A.",London,NA,,"printed for J. Stephens; and sold by A. Bettesworth, J. Osborn, and T. Longman; W. Meadows, and J. Brotherton; J. MacEuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,8
T140325,1725,12361047,"Longman, T.",London,Pater-Noster-Row,London,"printed for J. Stephens, at the Bible in Butcher-Row, near St. Clement's Church in the Strand; and sold by A. Bettesworth, J. Osborn, and T. Longman, in Pater-Noster-Row; W. Meadows, and J. Brotherton. in Cornhill; J. Maceuen in Edinburgh; and by the booksellers of Dublin",bookseller,FALSE,9
T140325,1725,307202316,"Gavin, Antonio, active 1726.",London,NA,,"printed for J. Stephens, at the Bible in Butcher-Row, near St. Clement's Church in the Strand; and sold by A. Bettesworth, J. Osborn, and T. Longman, in Pater-Noster-Row; W. Meadows, and J. Brotherton. in Cornhill; J. Maceuen in Edinburgh; and by the booksellers of Dublin",author,TRUE,9
T140325,1725,jamesmaceuen_0,"Maceuen, J.",London,Edinburgh,,"printed for J. Stephens, at the Bible in Butcher-Row, near St. Clement's Church in the Strand; and sold by A. Bettesworth, J. Osborn, and T. Longman, in Pater-Noster-Row; W. Meadows, and J. Brotherton. in Cornhill; J. Maceuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,9
T140325,1725,bbti_51499,"Osborn, J.",London,Pater-Noster-Row,London,"printed for J. Stephens, at the Bible in Butcher-Row, near St. Clement's Church in the Strand; and sold by A. Bettesworth, J. Osborn, and T. Longman, in Pater-Noster-Row; W. Meadows, and J. Brotherton. in Cornhill; J. Maceuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,9
T140325,1725,305051344,"Brotherton, J.",London,London,,"printed for J. Stephens, at the Bible in Butcher-Row, near St. Clement's Church in the Strand; and sold by A. Bettesworth, J. Osborn, and T. Longman, in Pater-Noster-Row; W. Meadows, and J. Brotherton. in Cornhill; J. Maceuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,9
T140325,1725,54200197,"Meadows, W.",London,London,,"printed for J. Stephens, at the Bible in Butcher-Row, near St. Clement's Church in the Strand; and sold by A. Bettesworth, J. Osborn, and T. Longman, in Pater-Noster-Row; W. Meadows, and J. Brotherton. in Cornhill; J. Maceuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,9
T140325,1725,bbti_66145,"Stephens, J.",London,Bible @@ Butcher-Row @@ St Clement's Church @@ Strand,London,"printed for J. Stephens, at the Bible in Butcher-Row, near St. Clement's Church in the Strand; and sold by A. Bettesworth, J. Osborn, and T. Longman, in Pater-Noster-Row; W. Meadows, and J. Brotherton. in Cornhill; J. Maceuen in Edinburgh; and by the booksellers of Dublin",publisher,TRUE,9
T140325,1725,36768263,"Bettesworth, A.",London,Pater-Noster-Row,London,"printed for J. Stephens, at the Bible in Butcher-Row, near St. Clement's Church in the Strand; and sold by A. Bettesworth, J. Osborn, and T. Longman, in Pater-Noster-Row; W. Meadows, and J. Brotherton. in Cornhill; J. Maceuen in Edinburgh; and by the booksellers of Dublin",bookseller,TRUE,9
T154303,1725,bbti_106365,"Gosling, R.",London,Middle-Temple-Gate @@ Fleet-street,London,"Printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat sets and single parts may be had, at 1s. each register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-street, and J. Mac Euen at Buchanan's Head over against St. Clement's Church in the Strand, and at his Shop in Edinburgh",bookseller,FALSE,10
T154303,1725,jamesmceuen_0,"Euen, J. Mac",London,Buchanan's Head @@ St Clement's Church @@ Strand,London; Edinburgh,"Printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat sets and single parts may be had, at 1s. each register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-street, and J. Mac Euen at Buchanan's Head over against St. Clement's Church in the Strand, and at his Shop in Edinburgh",bookseller,TRUE,10
T154303,1725,65560351,"Meere, C.",London,Old Baily @@ Ludgate,London,"Printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat sets and single parts may be had, at 1s. each register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-street, and J. Mac Euen at Buchanan's Head over against St. Clement's Church in the Strand, and at his Shop in Edinburgh",bookseller; printer,TRUE,10
T154303,1725,tnorris_1,"Norris, T.",London,Looking-Glass @@ London-Bridge @@ his Shop @@ Edinburgh,London,"Printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat sets and single parts may be had, at 1s. each register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-street, and J. Mac Euen at Buchanan's Head over against St. Clement's Church in the Strand, and at his Shop in Edinburgh",bookseller,TRUE,10
T144044,1726,mrjamesmeuen_0,"M'Euen, James",Edinburgh,his Shops @@ London @@ Edinburgh,London; Edinburgh,"printed by Robert Fleming and Company, and sold by Mr. James M'Euen at his Shops in London and Edinburgh",bookseller,FALSE,11
T144044,1726,309695877,"Crawford, George, active 1710.",Edinburgh,NA,,"printed by Robert Fleming and Company, and sold by Mr. James M'Euen at his Shops in London and Edinburgh",author,TRUE,11
T144044,1726,robertflemingandcompany_0,Robert Fleming and Company,Edinburgh,NA,Edinburgh,"printed by Robert Fleming and Company, and sold by Mr. James M'Euen at his Shops in London and Edinburgh",printer,TRUE,11
T55933,1726,williammonro_0,"Monro, William",Edinburgh,Edinburgh,Edinburgh,"printed by Mr. Thomas Ruddiman, for Mr. Will. Monro Book-Seller, and are to be sold at his Shop in the Parliament-Closs, and by most Booksellers in Edinburgh; and at London by T. Langman [i.e. Longman], Book-Seller, and Company, at the Ship in Pater-Noster-Row",publisher,FALSE,12
T55933,1726,101583814,"Ruddiman, Thomas",Edinburgh,London @@ Ship @@ Pater-Noster-Row,Edinburgh,"printed by Mr. Thomas Ruddiman, for Mr. Will. Monro Book-Seller, and are to be sold at his Shop in the Parliament-Closs, and by most Booksellers in Edinburgh; and at London by T. Langman [i.e. Longman], Book-Seller, and Company, at the Ship in Pater-Noster-Row",printer,TRUE,12
T55933,1726,12361047,"Longman, T.",Edinburgh,London @@ Ship @@ Pater-Noster-Row,London,"printed by Mr. Thomas Ruddiman, for Mr. Will. Monro Book-Seller, and are to be sold at his Shop in the Parliament-Closs, and by most Booksellers in Edinburgh; and at London by T. Langman [i.e. Longman], Book-Seller, and Company, at the Ship in Pater-Noster-Row",bookseller,TRUE,12
T55933,1726,14876201,"Monro, Alexander, 1697-1767.",Edinburgh,NA,,"printed by Mr. Thomas Ruddiman, for Mr. Will. Monro Book-Seller, and are to be sold at his Shop in the Parliament-Closs, and by most Booksellers in Edinburgh; and at London by T. Langman [i.e. Longman], Book-Seller, and Company, at the Ship in Pater-Noster-Row",author,TRUE,12
T140323,1726,12361047,"Longman, T.",London,Paternoster Row @@ Cornhill,London,"printed for J. Stephens, at the Bible in Butcher Row, over against the Bear and Harrow Tavern without Temple-Bar. And sold by A. Bettesworth, J. Osbourn, and T. Longman in Paternoster Row, W. Meadows and J. Brotherton in Cornhill, and the booksellers of London and Westminster. By E. Mackeuen in Edinburgh, and by the booksellers of Dublin",bookseller,FALSE,13
T140323,1726,bbti_51499,"Osbourn, J.",London,Paternoster Row @@ Cornhill,London,"printed for J. Stephens, at the Bible in Butcher Row, over against the Bear and Harrow Tavern without Temple-Bar. And sold by A. Bettesworth, J. Osbourn, and T. Longman in Paternoster Row, W. Meadows and J. Brotherton in Cornhill, and the booksellers of London and Westminster. By E. Mackeuen in Edinburgh, and by the booksellers of Dublin",bookseller,TRUE,13
T140323,1726,305051344,"Brotherton, J.",London,London,,"printed for J. Stephens, at the Bible in Butcher Row, over against the Bear and Harrow Tavern without Temple-Bar. And sold by A. Bettesworth, J. Osbourn, and T. Longman in Paternoster Row, W. Meadows and J. Brotherton in Cornhill, and the booksellers of London and Westminster. By E. Mackeuen in Edinburgh, and by the booksellers of Dublin",bookseller,TRUE,13
T140323,1726,emackeuen_0,"Mackeuen, E.",London,Edinburgh,,"printed for J. Stephens, at the Bible in Butcher Row, over against the Bear and Harrow Tavern without Temple-Bar. And sold by A. Bettesworth, J. Osbourn, and T. Longman in Paternoster Row, W. Meadows and J. Brotherton in Cornhill, and the booksellers of London and Westminster. By E. Mackeuen in Edinburgh, and by the booksellers of Dublin",bookseller,TRUE,13
T140323,1726,bbti_66145,"Stephens, J.",London,Bible @@ Butcher Row,London,"printed for J. Stephens, at the Bible in Butcher Row, over against the Bear and Harrow Tavern without Temple-Bar. And sold by A. Bettesworth, J. Osbourn, and T. Longman in Paternoster Row, W. Meadows and J. Brotherton in Cornhill, and the booksellers of London and Westminster. By E. Mackeuen in Edinburgh, and by the booksellers of Dublin",publisher,TRUE,13
T140323,1726,54200197,"Meadows, W.",London,London,,"printed for J. Stephens, at the Bible in Butcher Row, over against the Bear and Harrow Tavern without Temple-Bar. And sold by A. Bettesworth, J. Osbourn, and T. Longman in Paternoster Row, W. Meadows and J. Brotherton in Cornhill, and the booksellers of London and Westminster. By E. Mackeuen in Edinburgh, and by the booksellers of Dublin",bookseller,TRUE,13
T140323,1726,307202316,"Gavin, Antonio, active 1726.",London,NA,,"printed for J. Stephens, at the Bible in Butcher Row, over against the Bear and Harrow Tavern without Temple-Bar. And sold by A. Bettesworth, J. Osbourn, and T. Longman in Paternoster Row, W. Meadows and J. Brotherton in Cornhill, and the booksellers of London and Westminster. By E. Mackeuen in Edinburgh, and by the booksellers of Dublin",author,TRUE,13
T140323,1726,36768263,"Bettesworth, A.",London,Paternoster Row @@ Cornhill,London,"printed for J. Stephens, at the Bible in Butcher Row, over against the Bear and Harrow Tavern without Temple-Bar. And sold by A. Bettesworth, J. Osbourn, and T. Longman in Paternoster Row, W. Meadows and J. Brotherton in Cornhill, and the booksellers of London and Westminster. By E. Mackeuen in Edinburgh, and by the booksellers of Dublin",bookseller,TRUE,13
T77401,1726,bbti_77824,"Woodman, J.",London,NA,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",bookseller,FALSE,14
T77401,1726,12361047,"Longman, T.",London,London,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",bookseller,TRUE,14
T77401,1726,allanramsay_0,"Ramsey, A.",London,Edinburgh,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",bookseller,TRUE,14
T77401,1726,59137424,"Noon, J.",London,London,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",bookseller,TRUE,14
T77401,1726,bbti_44037,"Loyon, D.",London,London,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",bookseller,TRUE,14
T77401,1726,147002053,James and John Knapton,London,London,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",bookseller,TRUE,14
T77401,1726,jbsprint_0,J. and B. Sprint,London,London,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",bookseller,TRUE,14
T77401,1726,46815338,"Bowyer, W.",London,London,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",printer,TRUE,14
T77401,1726,bbti_51499,"Osborn, J.",London,London,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",bookseller,TRUE,14
T77401,1726,bbti_6399,"Billingsley, J.",London,London,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",bookseller,TRUE,14
T77401,1726,40161749,"Cheselden, William, 1688-1752.",London,NA,,"printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh",author,TRUE,14
T132821,1727,77108557,"Ramsay, Allan, 1685-1758.",Edinburgh,NA,,"printed by Mr. Thomas Ruddiman, for and sold by the author, by Mr. Longman, London, and by Martin Bryson in Newcastle",author; bookseller,FALSE,15
T132821,1727,bbti_43637,"Longman,",Edinburgh,London,,"printed by Mr. Thomas Ruddiman, for and sold by the author, by Mr. Longman, London, and by Martin Bryson in Newcastle",bookseller,TRUE,15
T132821,1727,martinbryson_0,"Bryson, Martin",Edinburgh,Newcastle,,"printed by Mr. Thomas Ruddiman, for and sold by the author, by Mr. Longman, London, and by Martin Bryson in Newcastle",bookseller,TRUE,15
T132821,1727,101583814,"Ruddiman, Thomas",Edinburgh,NA,Edinburgh,"printed by Mr. Thomas Ruddiman, for and sold by the author, by Mr. Longman, London, and by Martin Bryson in Newcastle",printer,TRUE,15
T5542,1728,61551003,"Pope, Alexander, 1688-1744.",Edinburgh,NA,,"Dublin, printed, London reprinted for A. Dodd",author,FALSE,16
T5542,1728,adodd_0,"Dodd, A.",Edinburgh,London,,"Dublin, printed, London reprinted for A. Dodd",publisher,TRUE,16
T87021,1728,10948476,"Lindsay, Robert, 1500?-1565?.",Edinburgh,NA,,"Printed by Mr. Baskett and Company, His Majesty's printers, and sold at Mr. Freebairn's Shop in the Parliament-Closs; and at London by Andrew Millar bookseller, at his Shop over against St. Clement's Church in the Strand",author,FALSE,17
T87021,1728,robertfreebairn_0,"Freebairn,",Edinburgh,NA,Edinburgh,"Printed by Mr. Baskett and Company, His Majesty's printers, and sold at Mr. Freebairn's Shop in the Parliament-Closs; and at London by Andrew Millar bookseller, at his Shop over against St. Clement's Church in the Strand",bookseller,TRUE,17
T87021,1728,andrewmillar_0,"Millar, Andrew",Edinburgh,London,,"Printed by Mr. Baskett and Company, His Majesty's printers, and sold at Mr. Freebairn's Shop in the Parliament-Closs; and at London by Andrew Millar bookseller, at his Shop over against St. Clement's Church in the Strand",bookseller,TRUE,17
T87021,1728,mrbaskettandcompany_0,Mr Baskett and Company,Edinburgh,London @@ his Shop @@ St Clement's Church @@ Strand,Edinburgh,"Printed by Mr. Baskett and Company, His Majesty's printers, and sold at Mr. Freebairn's Shop in the Parliament-Closs; and at London by Andrew Millar bookseller, at his Shop over against St. Clement's Church in the Strand",printer,TRUE,17
